METRÔ DE SÃO PAULO;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2025;;;;;;;;;;;;;
Demanda de Passageiros por Estação - Média Dias Úteis (em milhares);;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;;;;;;;
Estação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
Jabaquara;62;67;71;71;70;68;63;68;70;69;71;67;68
Conceição ;26;30;30;31;30;30;27;30;30;29;31;28;29
São Judas ;13;15;15;16;15;15;14;15;15;16;16;15;15
Saúde-Ultrafarma;23;27;27;28;27;26;25;27;27;27;27;25;26
Praça da Árvore ;13;16;16;17;16;15;14;16;16;16;16;15;16
Santa Cruz *;80;93;94;95;95;93;86;93;95;94;97;93;92
Vila Mariana ;14;21;22;22;21;19;15;20;20;20;20;16;19
Ana Rosa ¹;68;81;84;84;83;79;73;81;82;81;83;75;80
Paraíso ¹;84;102;105;106;104;98;91;101;103;101;104;93;99
Vergueiro ;22;27;27;28;28;26;24;27;27;27;27;23;26
São Joaquim ;20;31;35;37;35;30;22;33;36;35;35;26;31
Japão-Liberdade ;19;21;22;23;22;21;23;23;23;22;23;22;22
Sé 2;148;168;172;174;172;166;157;169;172;172;179;167;168
São Bento;48;50;50;51;51;51;49;48;49;51;53;55;51
Luz ³;118;134;138;137;131;126;118;126;124;125;129;118;127
Tiradentes ;11;15;16;17;17;16;13;16;16;16;16;13;15
Armênia ;16;18;20;20;20;20;18;19;20;20;20;17;19
Portuguesa-Tietê ;41;41;42;45;43;41;39;41;43;42;44;43;42
Carandiru ;9;11;12;12;12;11;10;12;12;12;12;11;11
Santana ;43;50;51;52;51;49;45;50;50;49;51;46;49
Jardim São Paulo-Ayrton Senna;9;12;12;12;12;12;11;12;12;12;12;11;12
Parada Inglesa ;11;13;13;13;13;13;12;13;13;13;14;12;13
Tucuruvi ;49;57;58;58;58;56;53;57;58;58;59;55;56
Total;948;1.101;1.133;1.147;1.128;1.081;1.002;1.097;1.115;1.105;1.139;1.043;1.087
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;;;;;;;
³ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da CPTM e da Linha 4-Amarela;;;;;;;;;;;;;
* Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 5-Lilás;;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 2-VERDE;;;;;;;;;;;;;
Estação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
Vila Prudente ¹;74;86;90;90;89;81;76;84;87;85;88;78;84
Tamanduateí ³;70;80;81;82;81;79;75;80;81;80;81;73;79
Sacomã;35;41;42;43;42;41;38;41;42;41;43;39;41
Alto do Ipiranga ;15;19;19;20;20;18;16;20;20;19;20;17;19
Santos-Imigrantes ;13;16;16;16;16;15;14;15;16;15;16;14;15
Chácara Klabin ³;73;87;88;89;89;86;80;87;88;87;90;80;85
Ana Rosa ²;52;60;62;63;62;60;55;61;61;61;63;57;60
Paraíso ²;53;63;65;66;65;62;57;63;64;63;65;59;62
Brigadeiro ;45;51;51;52;51;49;48;49;49;49;52;49;50
Trianon-Masp ;40;50;52;52;52;47;43;49;50;49;51;45;48
Consolação *;84;101;104;105;103;98;91;101;102;101;103;93;99
Clínicas ;19;22;23;23;23;22;20;22;22;22;23;20;22
Santuário N.S. de Fátima-Sumaré ;9;11;11;11;11;10;9;10;10;10;11;9;10
Vila Madalena;18;22;23;23;22;21;19;22;22;22;23;20;21
Total;600;709;729;735;726;689;641;704;715;705;727;657;695
¹ Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;;;;;;;
³ Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 5-Lilás;;;;;;;;;;;;;
* Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 4-Amarela;;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;;;;;;;
Estação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
Corinthians-Itaquera ²;62;69;70;71;69;67;64;67;69;66;71;71;68
Artur Alvim;47;54;56;55;55;54;51;54;55;54;55;52;54
Patriarca-Vila Ré;19;22;23;23;23;22;21;23;23;23;23;21;22
Guilhermina-Esperança ;18;21;22;22;22;21;20;21;22;21;22;20;21
Vila Matilde ;23;27;28;28;27;26;25;27;28;27;28;26;27
Penha-Lojas Besni;23;28;28;28;28;27;25;27;28;27;28;26;27
Carrão-Assaí Atacadista ;35;47;50;51;49;44;38;49;51;49;51;41;46
Tatuapé ²;65;72;75;76;75;73;69;75;75;76;79;78;74
Belém ;32;37;37;37;35;31;31;36;37;37;38;35;35
Bresser-Moóca ;25;29;31;31;30;28;25;29;30;29;30;26;29
Brás ²;65;69;71;73;76;74;72;74;72;71;75;76;72
Pedro II ;14;15;15;15;15;15;14;15;15;15;16;15;15
Sé¹;176;204;210;212;209;200;186;203;206;204;210;193;201
Anhangabaú;45;49;51;51;51;50;48;50;51;51;54;49;50
República ³;105;119;120;122;121;117;110;118;124;122;127;117;119
Santa Cecília ;20;23;23;23;23;22;20;23;23;23;23;21;22
